Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Savannah Murray,1999.0,19.0,Retired,04/22/1955,"Beaufort, NC",Female,US Naval Academy; Florida Institute of Technology,Naval Sciences,Computer Science,Colonel,US Air Force (Retired),1,2232,2,4.1,STS-73 (Columbia),03/04/1999,
Sarah Dixon,1985.0,,Deceased,02/25/1945,"New York, NY",Male,California Institute of Technology,Mechanical Engineering,Aerospace Engineering,Colonel,,2,592,4,17.7,"STS-83 (Columbia), STS-94 (Columbia)",,
Barbara Miller,1981.0,8.0,Retired,05/25/1949,Hong Kong,Male,Purdue University; University of Southern California,Aeronautical Engineering,Aerospace Engineering,Colonel,,1,744,0,0.3,,,
Sandy Johnson,1965.0,3.0,Deceased,01/03/1931,"LaCrosse, WI",Male,Georgia Institute of Technology,Engineering Science,Electrical Engineering,,,3,1764,5,26.8,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 (Columbia), STS-9 (Columbia)",,
Maria Liu,2006.0,18.0,Retired,01/20/1969,"Wheeler, TX",Male,MIT,Physics,Physics,Colonel,US Air Force (Retired),4,3308,10,67.0,STS-78 (Columbia),,
Ashley Palmer,1986.0,10.0,Retired,11/24/1950,"Frankfurt, West Germany",Male,Purdue University,Physics,No Major,Captain,US Navy,4,1243,4,16.8,"STS 41-B (Challenger), STS 51-L (Challenger)",,
John Lewis MD,1988.0,15.0,Deceased,11/22/1954,"Jiangxi, China",Male,Pennsylvania State University; US Naval Postgraduate School,Earth & Planetary Science,Biometeorology,,US Air Force (Retired),5,304,2,5.1,"STS-66 (Atlantis), STS-82 (Discovery), STS-97 (Endeavor), STS-115 (Discovery)",,
John Carroll,1982.0,9.0,Retired,07/30/1949,"Fresno, CA",Male,US Naval Academy; Florida State Institute of Technology,Physics & Engineering,Aeronautical Engineering,Major,US Marine Corps,1,7663,10,65.4,STS-34 (Atlantis),10/25/2001,
Joshua Price,1977.0,8.0,Retired,10/02/1949,"Sacramento, CA",Male,Purdue University; US Naval Postgraduate School,Mechanical Engineering,No Major,,US Navy (Retired),2,507,1,3.4,"STS-59 (Endeavor), STS-68 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis)",09/16/1995,
James Spencer,2003.0,18.0,Retired,09/06/1967,"Orange, CA",Male,Vanderbilt University; University of Pennsylvania,Aeronautical & Astronautical Engineering,Electrical Engineering,,US Marine Corps (Retired),2,5883,7,34.3,"STS-128/129 (Discovery/Atlantis), STS-133 (Discovery)",,
Carolyn West,2000.0,16.0,Retired,11/09/1968,"Brooklyn, NY",Male,US Naval Academy; Florida State Institute of Technology,Physics,Science & Technology Administration,,US Army (Retired),3,3355,9,51.8,"STS 51-G (Discovery), STS 61-A (Challenger), STS-37 (Atlantis), STS-55 (Columbia)",,
Katrina Walker,1980.0,8.0,Management,02/07/1937,"Hackensack, NJ",Male,Whitman College,Mathematical & Electrical Science,Physics,Commander,US Air Force (Retired),4,233,1,3.8,ISS-37/38 (Soyuz),,
Grace Gregory,1997.0,17.0,Retired,12/25/1962,"Haversford, PA",Male,Stanford University,Physics,No Major,Rear Admiral,US Naval Reserves (Retired),3,203,5,22.1,Skylab 4,,
Brian Morales,1983.0,16.0,Retired,03/28/1950,"Watertown, WI",Male,University of Washington,Astronautical Engineering,Astronomy,,,1,1659,9,58.9,ISS-37/38 (Soyuz),,
Emily Melton,1998.0,18.0,Retired,04/11/1957,"Cleveland, OH",Male,University of New Hampshire; Ohio State University; Harvard University,Mechanical & Aeronautical Engineering,Physiology,Brigadier General,,5,397,2,6.8,,05/01/1997,
Janice Carr,1972.0,4.0,Retired,01/28/1942,"Springfield, MA",Male,Hastings College; Iowa State University,Physics,Aerospace Engineering,Rear Admiral,US Navy,3,530,1,1.2,,,
Karen Alvarado,1992.0,13.0,Retired,10/02/1959,"Palo Alto, CA",Male,University of Oklahoma; Stanford University,Aeronautical Engineering,Computer Science,,,3,941,0,0.0,"STS-117 (Atlantis), STS-128 (Discovery)",12/29/1998,
Austin Daniel,1978.0,,Active,03/13/1958,"New Rockford, ND",Female,US Air Force Academy; Old Dominion University,Physics,Medicine,Colonel,US Air Force (Retired),5,4327,2,8.2,STS-110 (Atlantis),,
Rhonda Cooper,1987.0,13.0,Retired,12/23/1952,"West Point, NY",Female,Harvard University; MIT,Aeronautical & Astronautical Engineering,Aerospace Engineering,Lieutenant Commander,US Air Force (Retired),2,1728,9,61.0,,,
Julia Ortega,,10.0,Retired,02/03/1947,"Fresno, CA",Male,Syracuse University; Marietta College; University of California-Los Angeles; University of Kentucky; University of Houston; Columbia University,Mathematical & Electrical Science,Engineering,Major,US Navy,1,54,0,0.9,"STS-7 (Challenger), STS 41-G (Challenger)",,
John Hughes,,16.0,Retired,01/08/1958,"Washington, DC",Male,Drexel University; US Naval Postgraduate School,Electrical Science,Aeronautics & Astronautics,,,2,975,0,0.0,"STS-91 (Discovery), STS-99 (Endeavor), STS-123 (Endeavor), STS-108 (Endeavor)",,STS 51-L (Challenger)
Jennifer King,2006.0,20.0,Active,05/11/1966,"Creston, IA",Male,US Naval Academy; University of Southern California; University of North Carolina; Wayne State University,,Oceanography,,,2,599,0,0.1,"STS-72 (Endeavor), STS-81 (Atlantis), STS-97 (Endeavor), STS-115 (Atlantis)",,
Alexis Davis,1970.0,,Deceased,03/25/1939,"San Antonio, TX",Male,Princeton University,Aerospace Engineering,Medicine,,,1,1331,3,12.4,,,
Rachel Ferguson,1993.0,13.0,Management,06/25/1951,"Lake City, SC",Male,University of Rochester; California Institute of Technology,Mechanical Engineering,Aeronautics & Astronautics,Colonel,US Army (Retired),0,974,0,0.1,"STS-39 (Discovery), STS-54 (Endeavor), STS-66 (Atlantis)",,
David Olson,1990.0,14.0,Retired,03/21/1959,"Jamestown, TN",Male,Purdue University; Queen’s University-Canada,Physics,No Major,Commander,US Navy,1,1564,7,41.1,"STS-9 (Columbia), STS-45 (Atlantis)",,
Mr. Justin Miller,1987.0,11.0,Retired,11/19/1950,"Bar Harbor, ME",Male,Purdue University,Physics,Aviation Systems,,,4,2805,1,1.6,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (Atlantis), STS-91 (Discovery)",,
Karen Hall,1965.0,3.0,Retired,11/29/1940,"Chicago, IL",Female,University of Michigan,,Physical Science,,,1,4240,6,28.1,"STS 51-C (Discovery), STS-31 (Discovery), STS-46 (Atlantis)",,
Chad Brown MD,1999.0,16.0,Active,03/06/1970,"Houston, TX",Female,University of California-Los Angeles; University of California-San Diego,Solid Earth Sciences,No Major,,US Air Force (Retired),3,4102,9,51.2,ISS-24/25 (Soyuz),,
Dawn Trevino,1993.0,15.0,Retired,04/07/1963,"Washington, DC",Female,Purdue University; US Naval Postgraduate School,Mechanical Engineering,Engineering Management,Colonel,US Air Force,4,751,4,18.9,"STS-117/120 (Atlantis/Discovery), STS-131 (Discovery)",,
Sydney King,2004.0,20.0,Active,09/09/1962,"Chanute Air Force Base, IL",Male,US Naval Academy; Harvard University,Electrical Engineering,Polymer Science & Engineering,Lieutenant Commander,US Marine Corps,1,477,3,11.7,"STS-67 (Endeavor), STS-81 (Atlantis), STS-103 (Discovery), STS-125 (Atlantis), STS-109 (Columbia)",,
Christina Owen,1976.0,7.0,Active,07/30/1945,"Biloxi, MS",Male,Kent State University; John Carroll University,Physics,Materials Science,Colonel,,1,514,6,34.2,"STS-68 (Endeavor), STS-79 (Atlantis), STS-89 (Endeavor), STS-106 (Atlantis)",,
Matthew Wood,1970.0,7.0,Retired,11/13/1938,"Fresno, CA",Male,US Naval Academy; University of Tennessee,,Applied Plasma Physics,,,5,131,3,10.7,"STS-83 (Columbia), STS-94 (Columbia)",,
Mark Olson,1984.0,9.0,Retired,07/04/1949,"San Antonio, TX",Male,College of William & Mary; Eastern Virginia Medical School,Mechanical Engineering,No Major,,US Air Force (Retired),1,684,0,0.0,"STS-89 (Endeavor), STS-107 (Columbia)",,
Robert Warner,,19.0,Active,01/05/1968,"Farmington, CT",Male,US Air Force Academy; Texas A&M University,Mathematics & Physics,Chemistry,Captain,,5,8104,10,62.6,"STS 51-D (Discovery), STS-34 (Atlantis)",,
William Humphrey,,18.0,Deceased,06/16/1964,"Pittsburgh, PA",Male,University of Minnesota,Mathematics,Aeronautical Engineering,,US Navy,5,386,1,4.6,"STS-123 (Endeavor), STS-134 (Endeavor)",,
Christopher Dunlap,1986.0,13.0,Retired,08/17/1950,"Jefferson, IA",Male,US Coast Guard Academy; West Florida University,Aeronautical Engineering,No Major,Colonel,,3,895,5,24.4,"STS-84 (Atlantis), STS-106 (Atlantis), ISS-07 (Soyuz)",,
Brandon Clark,1995.0,12.0,Retired,03/13/1964,"Little Rock, AR",Male,University of Utah,Aeronautical Engineering,Aeronautics,Captain,US Navy,1,5072,9,58.8,"STS 51-D (Discovery), STS-34 (Atlantis)",,
Richard Harris,1965.0,4.0,Management,07/07/1929,"Bar Harbor, ME",Male,Cornell University; Stanford University,Animal Science,Systems Engineering,Commander,US Air Force,1,1057,0,0.5,"Apollo 16, STS-4 (Columbia), STS 51-C (Discovery)",,Apollo 1
Benjamin Robinson,,11.0,Retired,11/05/1952,"Ridley Park, PA",Male,Florida State University; University of Texas,Naval Sciences,No Major,Captain,US Navy (Retired),4,466,2,5.4,STS-121 (Discovery),,
Lisa Cherry,1965.0,4.0,Retired,08/23/1933,"Chanute Air Force Base, IL",Male,University of Kansas; University of California,Geosciences,No Major,,,4,400,0,0.2,STS-121 (Discovery),,
Samantha Brock,1986.0,8.0,Retired,10/19/1949,"Oak Park, IL",Male,US Military Academy; Georgia Institute of Technology,Geology,Aeronautics & Astronautics,Colonel,US Air Force (Retired),4,500,7,38.5,"STS-117/120 (Atlantis/Discovery), STS-131 (Discovery)",,
Kylie Moyer,1962.0,4.0,Deceased,01/20/1928,"Creve Couer, MO",Male,University of Colorado; University of California Los Angeles,Military Science,Aeronautical & Astronautical Engineering,Captain,US Navy (Retired),1,1975,8,42.3,STS-125 (Atlantis),,
Alexandra Lopez,1983.0,,Management,06/04/1951,"Beaumont, TX",Male,US Naval Academy,Zoology,Aeronautical Engineering,,,4,821,1,2.8,Apollo 7,,
Ian Miranda,1976.0,6.0,Retired,05/30/1947,"Chattanooga, TN",Male,University of Missouri-Rolla; Georgia Institute of Technology,Mathematics & Physics,Aerospace Engineering,Captain,US Navy (Retired),1,1862,6,30.8,"STS-33 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-73 (Columbia)",,
Kerry Obrien,2007.0,20.0,Active,11/10/1973,"Weatherford, OK",Female,MIT,Naval Sciences,Mechanical  Engineering,Colonel,,1,3383,7,41.6,"STS 51-A (Discovery), STS-30 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor)",,
Anthony Tucker,1972.0,10.0,Retired,10/16/1934,"Charlotte, NC",Male,US Air Force Academy; MIT,Astronomy,No Major,Colonel,,2,313,5,18.3,"ISS-19/20 (Soyuz), STS-133 (Discovery)",,
Andrea Garcia,,9.0,Retired,11/14/1953,"Cooperstown, NY",Male,Stanford University,Mechanical Engineering,Aeronautical Engineering,Colonel,US Air Force (Retired),3,864,0,0.6,Skylab 4,02/22/2002,
Tammy Walker,1963.0,5.0,Deceased,05/07/1929,"Columbus, OH",Male,US Naval Academy,Applied Mathematics,Aeronautical Engineering,,,3,478,0,0.0,STS-116 (Discovery),,
Jacob Tucker,1997.0,14.0,Retired,01/14/1959,"Ft. Huachuca, AZ",Male,College of William & Mary; Eastern Virginia Medical School,Electrical Engineering,Astronautics,Colonel,US Air Force Reserves,2,178,1,1.4,,,
Angela Ortega,1978.0,11.0,Deceased,06/14/1951,"Chicago, IL",Male,US Naval Academy,Geology,Medicine,,,1,298,0,0.0,STS-33 (Discovery),,
Justin Warren,1988.0,10.0,Management,10/17/1957,"Orange, TX",Male,California State University; University of Colorado,Engineering Science,Engineering,,,4,2206,3,8.9,"STS-125 (Atlantis), STS-134 (Endeavor)",,
Danny Whitehead,1978.0,8.0,Retired,01/16/1941,"Buenos Aires, Argentina",Male,University of Alabama at Birmingham,Physics,No Major,,US Army (Retired),3,372,2,4.9,"STS 51-J (Atlantis), STS-30 (Atlantis), STS-42 (Discovery), STS-57 (Endeavor)",11/16/1988,
Michael Petersen,1970.0,5.0,Retired,03/09/1941,"Chicago, IL",Male,DePauw University; Yale University,Physics,No Major,Colonel,US Air Force (Retired),4,3269,2,5.9,"STS-124 (Discovery), ISS-27/28 (Soyuz)",,
John Martin,1996.0,16.0,Active,02/08/1952,"Shanghai, China",Male,University of Notre Dame; Troy State University; University of Florida; Air Force Institute of Technology,Aerospace Engineering,Astrogeophysics,Lieutenant Commander,US Army,0,170,5,25.9,STS-109 (Columbia),,
Jacqueline Martin,1987.0,14.0,Retired,12/14/1949,"Honolulu, HI",Male,US Naval Academy,,Electrical Engineering,Brigadier General,US Navy (Retired),2,1082,2,5.2,"STS-72 (Endeavor), STS-87 (Columbia)",,
Anthony Scott,2005.0,19.0,Active,10/17/1969,"Ft. Belvoir, VA",Male,US Merchant Marine Academy; University of California-Los Angeles,Chemical Engineering,Applied Physics,Major General,US Air Force (Retired),1,4028,4,18.4,"STS-39 (Discovery), STS-52 (Columbia)",,
Cameron Terry,1986.0,17.0,Retired,06/20/1950,"Sacramento, CA",Male,US Air Force Academy; US Air Force Institute of Technology,Physics; English,Aeronautical Systems,Lieutenant Commander,US Navy,3,6,0,0.0,"STS-127 (Endeavor), STS-135 (Atlantis)",,
Kenneth Wu,1960.0,3.0,Retired,12/21/1925,"Southampton, NY",Female,Tennessee Polytechnic Institute; Virginia Polytechnic Institute,Physics,Chemical Engineering,Commander,US Air Force (Retired),3,60,0,0.0,"STS-92 (Discovery), STS-112 (Atlantis), STS-120 (Discovery)",10/02/1990,
Melanie Holder,1963.0,3.0,Management,07/06/1933,"Wilmington, DE",Male,US Air Force Academy; Columbia University,Mathematics,No Major,Major General,US Navy,2,119,1,3.5,"Mercury 4, Gemini 3, Apollo 1",,
Christopher Gonzalez,1977.0,9.0,Retired,02/08/1947,"Philadelphia, PA",Male,US Naval Academy; US Naval Postgraduate School,Mechanical Engineering,Aviation Systems,,US Marine Corps (Retired),4,697,5,20.8,"STS-37 (Atlantis), STS-47 (Endeavor), STS-59 (Endeavor), STS-79 (Atlantis)",,
Nicholas Figueroa,1967.0,3.0,Retired,08/13/1937,"Orange, NJ",Male,Ohio State University; University of Southern California; University of Houston,Physics,Mechanical Engineering,Colonel,US Air Force (Retired),2,2911,5,19.2,"Gemini 7, Apollo 8",07/07/1998,
Robert Spears,,15.0,Retired,03/11/1959,"Washington, DC",Male,US Air Force Academy; Columbia University; University of Texas,Engineering Science,Physiology,Colonel,,1,748,0,0.0,"STS 41-D (Discovery), STS-27 (Atlantis), STS-36 (Atlantis)",,
Renee Melton,1971.0,7.0,Active,09/12/1942,"Richmond, VA",Male,University of Texas-Dallas,Aerospace Engineering,Aeronautics,Colonel,US Air Force (Retired),3,3350,4,15.7,"STS-37 (Atlantis), STS-41 (Discovery), STS-52 (Columbia), ISS-01/STS-102 (Soyuz/Discovery)",,
Gary Robinson,1979.0,15.0,Active,09/18/1946,"North Hollywood, CA",Male,US Military Academy; Georgia Institute of Technology; US Army War College,Mechanical Engineering,Physics,Colonel,US Navy (Retired),2,1195,0,0.1,"STS-124 (Discovery), STS-132 (Atlantis)",,
James Lawrence,1980.0,9.0,Deceased,05/24/1942,"Alta Vista, VA",Male,California State University; University of Colorado,Mechanical Engineering,Law,,US Air Force (Retired),2,273,0,0.0,"STS-83 (Columbia), STS-94 (Columbia)",,STS 51-L (Challenger)
Sharon Jackson,1986.0,8.0,Retired,03/21/1953,"Columbus, GA",Male,Indiana University of Pennsylvania; Medical College of Pennsylvania,Physiology,No Major,,US Navy,1,4096,0,0.1,"STS-111/113 (Endeavor), ISS-16 (Soyuz), ISS-50/51 (Soyuz)",,
Andrea Howard,1984.0,14.0,Retired,05/13/1953,"Syracuse, NY",Male,Pennsylvania State University; Air Force Institute of Technology; University of Houston-Clear Lake,Electrical Engineering,No Major,Captain,US Navy,5,2347,9,57.7,"STS-124/126 (Discovery/Endeavor), STS-134 (Endeavor)",,
Dana Warren,1988.0,11.0,Retired,05/28/1959,"Plattsburgh, NY",Male,Frostburg State University; University of Maryland,Mechanical Engineering,Aeronautical Engineering,,US Air Force (Retired),1,2721,1,1.8,"STS-41 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-79 (Atlantis)",,
Shannon Johnson,1967.0,6.0,Retired,06/25/1934,"Baltimore, MD",Male,US Air Force Academy; MIT,Business Finance,Applied Plasma Physics,Captain,US Navy (Retired),4,2286,8,43.3,STS 61-C (Columbia),06/01/1999,
Caitlin Lee,1987.0,13.0,Retired,10/26/1955,"Midvale, UT",Female,Saint John’s University; Stanford University,"Aeronautics & Astronautics; Earth, Atmospheric & Planetary Sciences",No Major,,US Navy (Retired),2,562,2,6.9,"Gemini 11, Apollo 12",,
Heather Houston,1986.0,16.0,Retired,07/14/1947,"Parker’s Prairie, MN",Male,Davidson College; University of Virginia; Wake Forest University; University of Texas Medical Branch-Galveston,Mechanical Engineering,Astronautical Engineering,Lieutenant General,US Naval Reserves,4,46,0,0.0,"STS-39 (Discovery), STS-54 (Endeavor), STS-71 (Atlantis), STS-82 (Discovery)",05/12/1983,
Jonathan Henderson,2007.0,20.0,Retired,08/25/1969,"Hampton, VA",Male,Purdue University; Indiana University,Mathematics,Law,,US Air Force,1,1227,3,10.7,ISS-40/41 (Soyuz),09/15/1988,
Peter Brown,1982.0,6.0,Deceased,07/18/1945,"Buffalo, NY",Male,US Military Academy; California Institute of Technology,Aerospace Engineering,Aeronautics & Astronautics,,US Army (Retired),1,61,7,38.9,Apollo 1,10/29/1995,
Jane Lopez,1965.0,5.0,Retired,05/22/1933,"Newport, VT",Male,US Air Force Academy; University of Arizona,Aerospace Engineering,Mechanical Engineering,,,5,308,1,2.4,Apollo 15,,
Steven Jones,1987.0,9.0,Management,02/01/1952,"Philadelphia, PA",Male,Hastings College; Iowa State University,,Physics,Captain,US Air Force (Retired),0,1373,0,0.1,STS 51-F (Challenger),05/28/1999,
Andrew Zamora,1985.0,13.0,Retired,04/03/1957,"Cardiff, Wales",Male,US Naval Academy; MIT,Mechanical Engineering,Business Management,Captain,US Navy (Retired),2,2716,1,3.2,STS 51-D (Discovery),,
Christopher Singh,1967.0,8.0,Retired,04/08/1934,"Washington, DC",Male,University of Colorado; Rensselaer Polytechnic Institute; University of Hartford,Systems Engineering,Systems Management,,,3,1289,1,2.2,STS-47 (Endeavor),03/13/1998,
Tammy Hammond,1985.0,9.0,Retired,10/18/1944,"Akron, OH",Male,Purdue University; US Naval Postgraduate School,Aerospace Engineering,No Major,,,2,4427,9,54.1,"STS-29 (Discovery), STS-38 (Atlantis)",,
Nicholas Smith,2002.0,16.0,Retired,11/04/1969,"Patterson, NJ",Male,Tennessee Technological University; University of Tennessee,Biology,Aeronautics & Astronautics,,,2,2704,6,28.6,"STS-111/113 (Endeavor), ISS-16 (Soyuz), ISS-50/51 (Soyuz)",,
Mitchell Foster,1994.0,12.0,Deceased,03/27/1954,"Fresno, CA",Male,Indiana University of Pennsylvania; Medical College of Pennsylvania,Astronautical Engineering,Engineering Management,,US Air Force (Retired),1,210,1,0.9,"STS-54 (Endeavor), STS-64 (Discovery), STS-78 (Columbia), STS-101 (Atlantis), STS-102/105 (Discovery)",,
Amanda Martinez,1971.0,12.0,Management,04/23/1933,"Pontiac, MI",Male,Muskingum College,Electrical Engineering,No Major,,US Army (Retired),2,379,1,2.1,STS-44 (Atlantis),,
Angie Garcia,1992.0,14.0,Retired,01/20/1956,"Sparta, WI",Male,University of Oklahoma,Industrial Management,Business Management,,US Navy,5,3627,9,55.0,"STS 41-C (Challenger), STS 51-L (Challenger)",,
Beth Fox,1981.0,9.0,Retired,12/01/1961,"Montclair, NJ",Male,University of Colorado,Engineering,Engineering Physics,Colonel,US Navy (Retired),4,4886,8,43.8,STS-131 (Discovery),,
Rebecca Myers,1993.0,15.0,Active,09/06/1960,"Ft. Belvoir, VA",Female,San Francisco State University,Mechanical Engineering,Engineering Science,,,3,1325,0,0.8,"STS 41-C (Challenger), STS 51-L (Challenger)",,
Sydney Wright,1986.0,13.0,Retired,08/08/1949,"Yonkers, NY",Male,California Institute of Technology; Harvard University,Aeronautical Engineering,Computer Science,Captain,,3,298,7,33.7,"STS-4 (Columbia), STS 41-D (Discovery), STS 61-A (Challenger)",,
Kelly Elliott,1980.0,13.0,Retired,07/09/1944,"Wichita Falls, TX",Male,Stanford University,Biology,Astronautical Engineering,Major,US Air Force,1,369,0,0.1,"STS-7 (Challenger), STS 41-G (Challenger)",,
William Cohen,1993.0,18.0,Active,09/09/1955,"Pinehurst, NC",Male,University of Alabama at Birmingham,Physics,Mathematics,Colonel,,2,3039,3,9.5,"STS-93 (Columbia), STS-100 (Endeavor), STS-112 (Atlantis)",,
Luis Levine,1990.0,14.0,Retired,11/28/1958,"Grand Rapids, MI",Male,Polytechnic Institute of Brooklyn; George Washington University; Virginia Polytechnic Institute,Mathematics & Economics,Aerospace Science,Major,US Air Force Reserves (Retired),3,5771,9,53.8,"STS-38 (Atlantis), STS-48 (Discovery), STS-62 (Columbia)",,
James Suarez,1973.0,8.0,Deceased,11/27/1937,"Wetumka, OK",Male,US Naval Academy; MIT,Aeronautical Engineering,Electrical Engineering,,,3,98,0,0.8,STS 41-C (Challenger),,
Ashley Kim,1964.0,3.0,Management,07/27/1935,"Philadelphia, PA",Male,Purdue University; University of Southern California,Mechanical Engineering,Aerospace Engineering,Colonel,,2,164,1,2.2,,,
Lindsay Greene,2005.0,20.0,Active,07/12/1969,"Syracuse, NY",Male,US Air Force Academy; Purdue University,Chemical Engineering,Applied Mathematics,Colonel,US Navy (Retired),2,8082,2,7.6,Apollo 17,,
Molly Brooks,1989.0,10.0,Retired,07/31/1955,"Sparta, WI",Female,University of Edinburgh; Leeds University,Biology & Psychology,Engineering Science,Captain,US Navy (Retired),3,2450,0,0.5,"STS-39 (Discovery), STS-52 (Columbia)",,
Ashley Neal,1988.0,13.0,Retired,09/03/1961,"Stroudsburg, PA",Male,Stanford University,Nuclear Engineering,Aerospace Engineering,,,4,2111,4,22.6,STS 51-L (Challenger),,
Robin Washington,1980.0,9.0,Retired,10/18/1950,"Austin, TX",Male,University of Illinois; Stanford University,Biology,Aerospace Science,Colonel,,4,2833,10,63.9,"STS-127 (Endeavor), STS-135 (Atlantis)",10/21/2001,
Angela Hale,1973.0,14.0,Management,07/03/1938,"Viroqua, WI",Male,University of Arizona,Aeronautical Engineering,No Major,Colonel,,3,39,2,6.3,"STS-55 (Columbia), STS-63 (Discovery)",,
Michelle Robertson,1978.0,8.0,Active,05/10/1939,"Miami, FL",Male,US Air Force Academy; Old Dominion University,Physics & Astronautical Engineering,No Major,,,2,653,8,45.1,"STS 41-D (Discovery), STS-29 (Discovery), STS-39 (Discovery)",,
Christopher Mcdonald,1968.0,4.0,Retired,09/12/1929,"Lancaster, PA",Male,University of Houston; Texas Tech University,Mathematics; Russian,Physiology,,US Air Force (Retired),2,1879,4,17.2,"STS-39 (Discovery), STS-54 (Endeavor), STS-71 (Atlantis), STS-82 (Discovery)",,
Jason Thomas,1968.0,6.0,Management,10/21/1939,"Orange, CA",Male,University of Rochester; California Institute of Technology,Mathematics & Physics,Aviation Systems,Captain,US Air Force (Retired),1,436,1,1.6,"STS-68 (Endeavor), STS-82 (Discovery), STS-103 (Discovery), STS-110 (Atlantis)",,
John Barrett,2000.0,19.0,Retired,05/24/1967,"Boston, MA",Male,US Naval Academy; US Naval Postgraduate School,Electrical Engineering,Nuclear Engineering,,,4,294,0,0.1,Apollo 8,,
Rachel Brown,1980.0,6.0,Retired,08/02/1948,"Parker’s Prairie, MN",Female,Tulane University,Chemical Engineering,No Major,Colonel,,1,3694,0,0.3,"STS-115 (Atlantis), STS-126 (Endeavor), STS-135 (Atlantis)",,
Elizabeth Walker,1974.0,6.0,Deceased,10/17/1938,"Brooklyn, NY",Male,Case Western Reserve University; Cornell University,Physics & Astronautical Engineering,Medicine,,,2,1318,7,39.5,"STS-92 (Discovery), STS-112 (Atlantis), STS-120 (Discovery)",,
Jason Barrera,,5.0,Retired,11/22/1936,"Farmington, CT",Male,US Military Academy,Aerospace Engineering,Aeronautical Engineering,Brigadier General,US Naval Reserves,2,254,0,0.0,"STS 51-I (Discovery), STS-26 (Discovery), STS-35 (Columbia)",,
Timothy Kelly,1977.0,,Management,03/09/1934,"San Antonio, TX",Male,US Air Force Academy; University of Colorado; Colorado State University; University of Minnesota; University of Texas Medical Branch-Galveston,Physics,Aeronautics & Astronautics,,,1,10,0,0.4,,,
Angela Cummings,1996.0,15.0,Retired,09/12/1961,"Boston, MA",Male,US Air Force Academy; Purdue University,Mechanical Engineering,Aeronautics & Astronautics,Captain,US Air Force,4,1077,5,22.0,"STS-47 (Endeavor), STS-66 (Atlantis), STS-77 (Endeavor), STS-85 (Discovery), STS-95 (Discovery), STS-103 (Discovery)",12/23/1985,
Kevin Salazar,1963.0,4.0,Management,08/11/1937,"Richmond, VA",Male,University of Michigan,Electrical Engineering,No Major,Lieutenant Colonel,,1,670,7,41.1,STS-67 (Endeavor),,
Brady Kelly,2002.0,18.0,Management,05/22/1967,"Baltimore, MD",Male,Brown University; MIT,,No Major,Major General,US Air Force Reserves,1,11,1,2.8,"STS-112 (Atlantis), STS-126/119 (Endeavor/Discovery), STS-135 (Atlantis)",,
Brad Price,1998.0,15.0,Management,10/05/1958,"Scranton, PA",Male,MIT; University of Chicago,Applied Mathematics,No Major,,,6,994,9,60.4,"STS-36 (Atlantis), STS-54 (Endeavor), STS-62 (Columbia), STS-77 (Endeavor)",,
Matthew Nunez,1998.0,11.0,Deceased,07/18/1961,"Eugene, OR",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Aerospace Engineering,Medicine,Captain,US Navy,3,3191,3,10.9,"STS 51-I (Discovery), STS-26 (Discovery), STS-35 (Columbia)",,
Brian Lee,1995.0,17.0,Retired,01/31/1967,"Charles City, IA",Female,Stanford University,Engineering,Safety Engineering,Colonel,,4,1168,10,62.4,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (Atlantis), STS-91 (Discovery)",01/23/2001,
Laura Taylor,2003.0,18.0,Active,04/11/1967,"Redwood, CA",Male,Kent State University; John Carroll University,Biology,Astronomy,,US Navy (Retired),4,1978,8,50.4,"STS-32 (Columbia), STS-52 (Columbia), STS-63 (Discovery), STS-86 (Atlantis), STS-102 (Discovery), STS-113 (Endeavor)",05/03/1990,
Felicia Rodriguez,1974.0,6.0,Retired,06/15/1935,"Honolulu, HI",Male,Auburn University,Physics,Medicine,Captain,US Air Force,4,1655,8,45.5,"STS-73 (Columbia), STS-80 (Columbia), STS-85 (Discovery), STS-96 (Discovery), STS-100 (Endeavor)",,
Charles Hernandez,1997.0,17.0,Retired,04/18/1963,"Binghamton, NY",Male,US Military Academy; University of Michigan,,Aeronautical Engineering,,,1,2550,9,55.8,"STS-88 (Endeavor), STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,
Matthew Garcia,1968.0,9.0,Retired,02/25/1937,"Lake Charles, LA",Male,US Air Force Academy; Purdue University,Mechanical Engineering,Aeronautical Engineering,Captain,,2,747,6,24.6,STS-50 (Columbia),,
Emma Mays,1971.0,6.0,Retired,03/22/1946,"Jackson, MI",Male,Florida State University; University of Texas,Aerospace Engineering,Engineering Mechanics,Colonel,US Air Force (Retired),3,15,6,34.4,"STS-111/113 (Endeavor), ISS-16 (Soyuz), ISS-50/51 (Soyuz)",,
