,ORDERKEY,CUSTKEY,ORDERSTATUS,TOTALPRICE,ORDERDATE,ORDERPRIORITY,CLERK,SHIPPRIORITY,COMMENT
8568,34273,22328,O,188542.99,839548800.0,2-HIGH,Clerk#000000692,0,nding braids integrate carefully.
8569,34274,108640,F,122000.56,729302400.0,3-MEDIUM,Clerk#000000968,0,refully furiously final instructions. ironic escapades hang furiously acc
8570,34275,95437,F,110910.85,773107200.0,5-LOW,Clerk#000000128,0,long the stealthily pending foxes. furiously ironic requests i
8571,34276,56770,F,69571.4,699926400.0,1-URGENT,Clerk#000000085,0,usly even foxes. reg
8572,34277,129175,O,116820.04,872121600.0,4-NOT SPECIFIED,Clerk#000000616,0,lay blithely along the furiously bold deposits. quickly bold requests
8573,34278,71038,O,140062.4,856310400.0,3-MEDIUM,Clerk#000000968,0,pecial deposits. furiously regular ideas cajole along th
8574,34279,69256,F,261717.27,701827200.0,4-NOT SPECIFIED,Clerk#000000395,0,"posits sleep. final foxes cajole carefully regular, pending Tiresias."
8575,34304,121402,F,9662.99,763171200.0,3-MEDIUM,Clerk#000000196,0, quickly final idea
8576,34305,82978,F,172901.76,730166400.0,1-URGENT,Clerk#000000378,0,ious excuses. ideas boost quickly. slyly pending
8577,34306,49327,O,266094.38,854236800.0,4-NOT SPECIFIED,Clerk#000000761,0,ages haggle furiously regular excuses. even foxes about the furiou
8578,34307,128056,F,75159.48,732499200.0,3-MEDIUM,Clerk#000000367,0,olites. slyly ironic dependencies breach sl
8579,34308,12355,F,115782.13,756691200.0,1-URGENT,Clerk#000000580,0,beans nag slyly in place of the carefully regular instructions. enticing 
8580,34309,24436,F,49802.75,715824000.0,2-HIGH,Clerk#000000052,0,nts unwind quickly. blithely bold ideas haggle along the daring asymptotes? s
8581,34310,133303,O,50288.02,828057600.0,4-NOT SPECIFIED,Clerk#000000056,0,usual theodolites wake blith
8582,34311,818,F,233563.58,778809600.0,2-HIGH,Clerk#000000108,0,into beans. even deposits wake slyly regular foxes. express asymptotes 
8583,34336,96577,O,210748.4,868752000.0,5-LOW,Clerk#000000308,0,he carefully stealthy deposits. slyly silent instructions play 
8584,34337,136412,F,53908.72,737424000.0,3-MEDIUM,Clerk#000000867,0,"hs. carefully final realms affix even, r"
8585,34338,68956,F,999.7,741484800.0,5-LOW,Clerk#000000242,0,old deposits affix ironic
8586,34339,20059,F,287037.59,705801600.0,3-MEDIUM,Clerk#000000929,0,ss requests. blithely brave platelets under the furiously unusual
8587,34340,74528,O,54718.65,861235200.0,2-HIGH,Clerk#000000771,0,tes. furiously stealthy deposits use final packages. blithely special in
8588,34341,78644,O,309078.9,848448000.0,3-MEDIUM,Clerk#000000134,0,special packages unwind. slyly special accounts eat slyly across the caref
8589,34342,108008,O,63111.81,886982400.0,2-HIGH,Clerk#000000104,0,nic packages among the carefully express asymptotes nag
8590,34343,135380,O,323315.78,892166400.0,2-HIGH,Clerk#000000012,0,"s. ideas among the final, pe"
8591,34368,122641,F,102717.56,789523200.0,5-LOW,Clerk#000000777,0,arefully regular packages believe fu
8592,34369,64837,O,104860.56,877132800.0,2-HIGH,Clerk#000000080,0,c foxes hinder carefully-- bold pinto beans are. regular
8593,34370,112069,O,202979.12,879465600.0,1-URGENT,Clerk#000000575,0,ions believe slyly alongside of the blithely special requests. blithely sp
8594,34371,134542,F,81193.74,733708800.0,3-MEDIUM,Clerk#000000492,0,"to kindle quickly against the regular, final asymptotes. slyly regular accoun"
8595,34372,139357,F,47855.83,719280000.0,2-HIGH,Clerk#000000637,0,l packages wake quickly ironic ideas. quickly idle requests a
8596,34373,57089,F,167216.55,723859200.0,4-NOT SPECIFIED,Clerk#000000100,0,blithely special platelets. ideas detect furiously. fin
8597,34374,88702,F,24523.76,773020800.0,5-LOW,Clerk#000000457,0,al warthogs haggle furiously. blithel
8598,34375,85048,F,225050.24,757728000.0,3-MEDIUM,Clerk#000000451,0,deposits along the carefully express requests wake carefully closely 
8599,34400,39635,F,133923.65,725241600.0,5-LOW,Clerk#000000953,0,ers haggle slyly pending accounts: blithely ruthless packages na
8600,34401,128749,O,183267.24,825033600.0,2-HIGH,Clerk#000000671,0,instructions must have to believe according to the 
8601,34402,108397,F,249560.78,736387200.0,2-HIGH,Clerk#000000495,0,ost quickly above the requests. b
8602,34403,60274,O,37357.2,838944000.0,1-URGENT,Clerk#000000993,0,carefully regular gifts. fluffily silent packages cajole slyly 
8603,34404,55304,F,61859.78,730512000.0,2-HIGH,Clerk#000000414,0,yly ironic pinto beans about the quietly unusual accounts ca
8604,34405,82265,F,151259.64,699494400.0,3-MEDIUM,Clerk#000000156,0, requests nag busily ac
8605,34406,66550,F,203395.04,717724800.0,3-MEDIUM,Clerk#000000959,0,ans integrate furiously against the carefully bold sentiments. furiously 
8606,34407,86806,F,181124.31,744163200.0,5-LOW,Clerk#000000023,0,slyly even deposits nag. ironic packag
8607,34432,42442,F,208699.42,765763200.0,4-NOT SPECIFIED,Clerk#000000144,0,sits. pending deposits cajole qui
8608,34433,50008,F,95187.88,790560000.0,4-NOT SPECIFIED,Clerk#000000430,0,f the fluffy deposits. furiously ironic requests x-ra
8609,34434,30002,P,263995.16,800064000.0,4-NOT SPECIFIED,Clerk#000000313,0,sts at the deposits lose slyly ironic packages. ex
8610,34435,78161,F,56874.07,776131200.0,5-LOW,Clerk#000000476,0,s. courts about the quickly ironic accounts poach alongside of the quietl
8611,34436,95546,O,97685.5,886723200.0,3-MEDIUM,Clerk#000000683,0,"counts sleep carefully unusual, special requests: bli"
8612,34437,76814,F,89685.57,793065600.0,5-LOW,Clerk#000000305,0,express accounts. blithe accounts are furiously regular ideas: never iron
8613,34438,110113,F,70605.86,755654400.0,2-HIGH,Clerk#000000598,0,to beans integrate. carefully final notornis
8614,34439,104410,F,146118.68,781833600.0,4-NOT SPECIFIED,Clerk#000000419,0,quickly regular Tiresias. wa
8615,34464,91655,O,99414.19,865814400.0,3-MEDIUM,Clerk#000000177,0,eodolites. slyly final depths integrate by the furiously pendi
8616,34465,84211,O,72148.19,853113600.0,2-HIGH,Clerk#000000425,0, fluffily-- regular ideas believe slyly.
8617,34466,54844,O,144459.19,885340800.0,4-NOT SPECIFIED,Clerk#000000284,0,"ironic requests. special, e"
8618,34467,6553,F,187503.41,783043200.0,1-URGENT,Clerk#000000782,0, final dependencies. stealthily ironic instructions belie
8619,34468,18784,O,55778.92,845078400.0,3-MEDIUM,Clerk#000000157,0, carefully quickly bold a
8620,34469,93562,O,203305.08,877478400.0,3-MEDIUM,Clerk#000000081,0,inst the express instructions
8621,34470,24527,F,163806.39,696988800.0,1-URGENT,Clerk#000000361,0,after the express theodoli
8622,34471,15229,O,109143.13,842140800.0,4-NOT SPECIFIED,Clerk#000000431,0,oxes. fluffily even dependencies wake quickly. blithel
8623,34496,32509,F,24991.19,737337600.0,1-URGENT,Clerk#000000493,0,ts. quickly slow requests play carefully against the fluffily final req
8624,34497,64517,F,91647.69,763344000.0,3-MEDIUM,Clerk#000000462,0, special packages with the packages boost furiously 
8625,34498,127517,F,265904.34,761356800.0,5-LOW,Clerk#000000435,0,"usly alongside of the regular, even pi"
8626,34499,121877,F,324241.83,743040000.0,3-MEDIUM,Clerk#000000060,0,use against the quickly even dependencies. slyly special de
8627,34500,133180,O,167022.69,891561600.0,5-LOW,Clerk#000000863,0,ins boost blithely ironic accounts. furious
8628,34501,43013,F,108083.85,756000000.0,1-URGENT,Clerk#000000158,0,about the slyly pending accounts. accounts nag furiously about th
8629,34502,63403,O,135444.16,876528000.0,1-URGENT,Clerk#000000066,0,uriously blithely ironic theodolites.
8630,34503,141155,O,114125.32,851299200.0,3-MEDIUM,Clerk#000000437,0,t furiously notornis
8631,34528,134873,O,143718.92,878428800.0,1-URGENT,Clerk#000000644,0,yly unusual pinto beans. express dependencies nag along the special 
8632,34529,4963,O,115772.49,885254400.0,4-NOT SPECIFIED,Clerk#000000945,0, even requests. brave
8633,34530,132061,F,222223.97,746755200.0,5-LOW,Clerk#000000152,0,usual foxes use furiously bold accoun
8634,34531,129500,O,103073.21,885686400.0,5-LOW,Clerk#000000475,0," the unusual, pending deposits"
8635,34532,146614,F,154400.33,724118400.0,5-LOW,Clerk#000000502,0,eposits. requests according to the pl
8636,34533,69013,O,178417.45,829699200.0,2-HIGH,Clerk#000000719,0,s cajole blithely. silently regular packages believe after 
8637,34534,69718,O,90570.07,882835200.0,2-HIGH,Clerk#000000210,0,s are quickly slyly silent pack
8638,34535,81548,F,222116.25,744681600.0,1-URGENT,Clerk#000000244,0,usly regular platelets are slyly blithely final foxes. express account
8639,34560,20704,F,176824.32,720835200.0,4-NOT SPECIFIED,Clerk#000000762,0,"above the brave, final instructions. boldly bold depo"
8640,34561,104869,F,60466.35,772848000.0,1-URGENT,Clerk#000000632,0,ns. packages affix carefully. deposits use q
8641,34562,14821,F,186417.11,746236800.0,5-LOW,Clerk#000000484,0,ts are. ironic deposits against the even accounts cajole deposits
8642,34563,66425,F,220447.16,699753600.0,4-NOT SPECIFIED,Clerk#000000627,0,l platelets are furiously fur
8643,34564,98557,O,245908.14,879206400.0,4-NOT SPECIFIED,Clerk#000000405,0, carefully final instructions haggle blithely regular instructi
8644,34565,133849,F,262711.36,774144000.0,3-MEDIUM,Clerk#000000117,0,refully ironic requests. regular dependenci
8645,34566,37828,O,156700.48,816048000.0,1-URGENT,Clerk#000000620,0,refully final epitaphs nag furiously i
8646,34567,69839,F,259044.97,767404800.0,5-LOW,Clerk#000000571,0,"lyly careful, enticing theodolites. express requests sleep blithely account"
8647,34592,25150,F,51741.81,793929600.0,5-LOW,Clerk#000000914,0,foxes cajole blithely b
8648,34593,112792,O,191683.6,847152000.0,2-HIGH,Clerk#000000531,0,"e bold, bold deposits should have to haggle about the slyly iron"
8649,34594,126466,F,7534.85,722563200.0,1-URGENT,Clerk#000000536,0,ously even theodolites. silently reg
8650,34595,148912,F,287288.24,711590400.0,3-MEDIUM,Clerk#000000658,0,ound the bold foxes cajole
8651,34596,8987,O,198579.07,809913600.0,1-URGENT,Clerk#000000824,0, slyly pending requests after t
8652,34597,130102,F,82846.04,756086400.0,3-MEDIUM,Clerk#000000349,0," quickly ironic packages. final, regular pains snooze furiously alongside of t"
8653,34598,47014,O,48813.12,865468800.0,3-MEDIUM,Clerk#000000760,0,"s. blithely bold dependencies are. regular, special requests"
8654,34599,109762,F,235987.02,731203200.0,5-LOW,Clerk#000000298,0,after the even requests. always final instructions haggle slyly. slyly 
8655,34624,63232,F,53764.02,717120000.0,4-NOT SPECIFIED,Clerk#000000198,0," instructions detect regular, even packages-- accounts use bl"
8656,34625,110467,O,134538.15,864086400.0,3-MEDIUM,Clerk#000000034,0,e. ideas are bravely
8657,34626,39811,F,226399.05,719193600.0,3-MEDIUM,Clerk#000000179,0,s cajole blithely even theodo
8658,34627,77116,F,137697.38,718156800.0,3-MEDIUM,Clerk#000000796,0,"ounts. final deposits are bold requests. final,"
8659,34628,76483,F,73863.48,735091200.0,4-NOT SPECIFIED,Clerk#000000763,0, furiously express requests af
8660,34629,85144,O,47930.83,871516800.0,2-HIGH,Clerk#000000737,0,pending ideas. quickly even packages wake quickl
8661,34630,137897,O,205451.86,817689600.0,1-URGENT,Clerk#000000233,0,ffix. carefully express requests are furiously carefull
8662,34631,131308,F,161221.71,782956800.0,4-NOT SPECIFIED,Clerk#000000794,0,. special accounts wake bold asymptotes. slyly regu
8663,34656,74830,O,42302.31,803952000.0,1-URGENT,Clerk#000000303,0,ickly special platelets throughout the slyly final requests dazzle fluffily 
8664,34657,42829,F,55129.57,736646400.0,5-LOW,Clerk#000000051,0,s. special dependencies integrate at the quickly silent plat
8665,34658,119969,F,203827.09,753667200.0,3-MEDIUM,Clerk#000000896,0, ironic deposits wake b
8666,34659,4397,F,211774.02,722217600.0,2-HIGH,Clerk#000000569,0, finally regular accounts boost fluffily slyly regular ideas. b
8667,34660,87554,O,314033.22,810172800.0,4-NOT SPECIFIED,Clerk#000000169,0,. ironic epitaphs wake slyly. even requests sleep pen
8668,34661,12848,F,39262.1,727574400.0,1-URGENT,Clerk#000000060,0,uctions. careful forges are above the excuses? quickly unusu
8669,34662,75889,F,262803.5,695088000.0,1-URGENT,Clerk#000000878,0,"xcuses wake. express, pending theodolites lose furiously blithely final req"
8670,34663,3223,O,170790.04,805075200.0,4-NOT SPECIFIED,Clerk#000000491,0, packages wake quickly final accounts. slyly regular packages sleep care
8671,34688,145106,F,128835.19,710985600.0,5-LOW,Clerk#000000789,0,ly blithe accounts. carefully bold packages along the quickly bli
8672,34689,94525,F,83953.24,785635200.0,5-LOW,Clerk#000000681,0,s cajole according to the carefully special dolphi
8673,34690,16798,F,22535.15,741657600.0,4-NOT SPECIFIED,Clerk#000000279,0,fily final pinto beans nag. fluf
8674,34691,23824,F,213811.29,758592000.0,1-URGENT,Clerk#000000256,0,d packages about the express pack
8675,34692,33259,F,243709.1,736992000.0,2-HIGH,Clerk#000000280,0,"ges sleep slyly according to the regular, ev"
8676,34693,82361,O,178777.6,855705600.0,4-NOT SPECIFIED,Clerk#000000223,0,its after the final platelet
8677,34694,30239,P,185520.52,799113600.0,5-LOW,Clerk#000000442,0,pending packages will have to cajole quickly. silently express tit
8678,34695,20077,O,113637.76,862617600.0,4-NOT SPECIFIED,Clerk#000000339,0,ully above the blithely ironic excuses. furiously even sauternes across the b
8679,34720,70306,O,20691.28,855360000.0,4-NOT SPECIFIED,Clerk#000000487,0,e. quickly even pinto b
8680,34721,50773,F,161268.66,752198400.0,4-NOT SPECIFIED,Clerk#000000715,0,refully after the special deposit
8681,34722,108806,O,329603.55,857433600.0,3-MEDIUM,Clerk#000000994,0, integrate silently. carefully busy asymptot
8682,34723,51694,F,209452.03,723945600.0,3-MEDIUM,Clerk#000000866,0,"hely final instructions sleep. final, even deposits sleep slyly quic"
8683,34724,148546,F,88615.58,788572800.0,5-LOW,Clerk#000000913,0, deposits according to the ironic asymptotes
8684,34725,147043,O,351178.49,806889600.0,5-LOW,Clerk#000000611,0,usual requests. instructions wake carefully against the even 
8685,34726,88672,O,33201.95,846720000.0,2-HIGH,Clerk#000000415,0,deas. regular sentiments detect slyly across the ironic asymptote
8686,34727,27526,F,105121.85,795139200.0,5-LOW,Clerk#000000732,0,earls sleep quickly. furiously special packages affi
8687,34752,146881,O,25458.65,805334400.0,2-HIGH,Clerk#000000171,0,ches haggle carefully spe
8688,34753,48155,F,174977.19,727401600.0,4-NOT SPECIFIED,Clerk#000000220,0,kages. slyly regular ideas integrate carefully.
8689,34754,83440,F,7268.42,707702400.0,1-URGENT,Clerk#000000947,0,carefully. ideas around the blithely bold
8690,34755,377,O,173759.35,856742400.0,1-URGENT,Clerk#000000190,0,"l requests wake. final, ironic courts promise quic"
8691,34756,22834,O,253094.5,890697600.0,3-MEDIUM,Clerk#000000624,0,en accounts! fluffily ev
8692,34757,40049,F,35202.0,707097600.0,2-HIGH,Clerk#000000169,0, decoys cajole carefu
8693,34758,49220,P,279646.97,799459200.0,1-URGENT,Clerk#000000873,0,cording to the blithely even pinto b
8694,34759,125375,O,193424.28,879897600.0,1-URGENT,Clerk#000000479,0,refully silent requests. slyly sly theodolites haggle slyly p
8695,34784,117730,F,246142.51,760320000.0,4-NOT SPECIFIED,Clerk#000000537,0,fily regular packages impress blithely furiously regular reque
8696,34785,14812,F,5027.58,728006400.0,1-URGENT,Clerk#000000207,0, slyly bold accounts haggle furiously. ideas integrate blithely. fluffil
8697,34786,95018,O,7470.07,837043200.0,2-HIGH,Clerk#000000059,0,ounts wake alongside of the special packages. special foxes sleep fluffily
8698,34787,62041,F,186120.11,730944000.0,5-LOW,Clerk#000000412,0, cajole slyly even deposits. quickly ironic courts haggle fur
8699,34788,68509,F,180468.13,784425600.0,2-HIGH,Clerk#000000970,0,"to beans about the regular, regular re"
8700,34789,4724,O,228788.29,846115200.0,5-LOW,Clerk#000000640,0,lly ironic ideas haggl
8701,34790,41431,O,257901.15,881971200.0,1-URGENT,Clerk#000000802,0,fully ironic somas are furiously against the sly
8702,34791,9823,P,224854.7,799891200.0,3-MEDIUM,Clerk#000000103,0, the blithely regular foxes. accounts wake. blith
8703,34816,80830,F,124819.56,752544000.0,4-NOT SPECIFIED,Clerk#000000594,0, foxes. fluffily express dolphins sleep. ironic packages h
8704,34817,103603,F,20141.42,766195200.0,2-HIGH,Clerk#000000257,0,ly express pearls across the final foxes sleep pendi
8705,34818,29452,O,210566.69,824947200.0,5-LOW,Clerk#000000612,0,ter the quickly final asymptotes. bold ideas nag s
8706,34819,138704,O,43293.53,880848000.0,5-LOW,Clerk#000000438,0, furiously. carefully s
8707,34820,34949,F,27679.09,738979200.0,5-LOW,Clerk#000000609,0,"slyly regular packages cajole thinly according to the even, ironic deposi"
8708,34821,124573,F,267146.3,745804800.0,1-URGENT,Clerk#000000172,0,serve along the packages. busily pending foxes print. pending packages use fu
8709,34822,118282,F,273057.11,710812800.0,4-NOT SPECIFIED,Clerk#000000609,0,s integrate furiously regular requests. careful
8710,34823,11638,F,98811.99,750211200.0,3-MEDIUM,Clerk#000000760,0,equests. unusual requests wake. carefully regular notornis 
8711,34848,134179,O,298788.13,855532800.0,3-MEDIUM,Clerk#000000179,0,de of the carefully
8712,34849,39076,F,329186.37,750470400.0,1-URGENT,Clerk#000000413,0,ly. slyly even theo
8713,34850,38738,F,86726.1,745632000.0,4-NOT SPECIFIED,Clerk#000000436,0, slyly ironic forges. carefully special accounts sleep. slyly unusu
8714,34851,57985,F,68654.22,721008000.0,4-NOT SPECIFIED,Clerk#000000219,0, deposits detect slyly final depos
8715,34852,130690,F,159035.31,715737600.0,5-LOW,Clerk#000000435,0,ar asymptotes. carefully unusual
8716,34853,44347,O,214201.56,812419200.0,1-URGENT,Clerk#000000466,0,"ending deposits. fluffy, "
8717,34854,109255,F,112230.03,785030400.0,3-MEDIUM,Clerk#000000088,0, express dependencies. silently regular
8718,34855,78790,F,115591.65,764985600.0,5-LOW,Clerk#000000636,0,yly along the carefully ironic pinto beans.
8719,34880,13208,F,114967.01,779760000.0,2-HIGH,Clerk#000000928,0,thely final ideas integrate fluffily. slyly regular account
8720,34881,127322,F,292907.7,792201600.0,3-MEDIUM,Clerk#000000659,0,the final ideas. idl
8721,34882,148199,F,220730.38,775094400.0,1-URGENT,Clerk#000000765,0,lly bold instructions. slyly special accounts around the packages cajole b
8722,34883,28546,F,191219.87,783993600.0,1-URGENT,Clerk#000000456,0,nts. furiously unusual requests
8723,34884,52882,O,118101.44,850003200.0,3-MEDIUM,Clerk#000000232,0,ometimes special deposits
8724,34885,25291,O,56866.95,866160000.0,1-URGENT,Clerk#000000502,0,special asymptotes nag careful
8725,34886,92399,O,41990.96,894499200.0,3-MEDIUM,Clerk#000000356,0,ly silent accounts above t
8726,34887,140951,O,3277.45,884908800.0,3-MEDIUM,Clerk#000000537,0,lyly regular pinto beans. ironic deposits boost fluffily unusua
8727,34912,147127,F,50459.32,697075200.0,5-LOW,Clerk#000000976,0,ole slyly. furiously regula
8728,34913,131599,O,72016.3,817084800.0,3-MEDIUM,Clerk#000000586,0,"tes about the unusual, express tithes haggle special p"
8729,34914,8636,O,215766.85,873676800.0,2-HIGH,Clerk#000000628,0,"lithely regular deposits. silent, ironic ide"
8730,34915,87617,F,60613.39,778118400.0,2-HIGH,Clerk#000000801,0,s. final accounts haggle furio
8731,34916,25322,F,52508.09,744940800.0,2-HIGH,Clerk#000000960,0,e the quickly regular accounts are around the even accoun
8732,34917,30395,O,43616.43,813888000.0,2-HIGH,Clerk#000000895,0," carefully before the ironic, regular deposits. pendin"
8733,34918,82660,F,303922.97,782956800.0,3-MEDIUM,Clerk#000000420,0,efully furiously regular accounts. slyly ironic packages was slowly. ca
8734,34919,114821,O,166350.69,839462400.0,2-HIGH,Clerk#000000027,0,onic requests sleep furiously again
8735,34944,33778,O,80078.03,889315200.0,1-URGENT,Clerk#000000781,0,n pinto beans doubt slyly across the fluffily pending p
8736,34945,74410,O,269481.83,891302400.0,5-LOW,Clerk#000000203,0,"ns promise blithely outside the bold dependencies. ironic, ev"
8737,34946,48628,O,61614.94,892944000.0,5-LOW,Clerk#000000959,0,"the unusual, bold pinto beans"
8738,34947,88103,O,298934.59,837043200.0,4-NOT SPECIFIED,Clerk#000000181,0,lly final multipliers. carefully ironic requests hinder after the p
8739,34948,91444,F,139868.65,726883200.0,1-URGENT,Clerk#000000352,0,pendencies. regular dolphins ha
8740,34949,118613,F,120380.84,755481600.0,1-URGENT,Clerk#000000001,0,ans. unusual foxes after the quickly daring theodolites print instructio
8741,34950,13058,O,205447.52,842054400.0,5-LOW,Clerk#000000603,0,instructions detect alongside o
8742,34951,3487,O,177689.71,832809600.0,4-NOT SPECIFIED,Clerk#000000982,0,"r, silent packages. bold, regular instructions"
8743,34976,83009,F,320209.1,722649600.0,3-MEDIUM,Clerk#000000561,0, blithely final dolphins use fluffily. blithely regular instruc
8744,34977,119872,F,114889.48,750816000.0,5-LOW,Clerk#000000419,0,ng accounts. furiously bold requests above the slyly bold theodolite
8745,34978,23383,F,328856.93,791942400.0,2-HIGH,Clerk#000000336,0,"ngside of the ironic, ironic platelets. s"
8746,34979,119083,F,101152.38,749260800.0,1-URGENT,Clerk#000000349,0,osits. slyly bold theodolites caj
8747,34980,101483,F,124948.17,744336000.0,4-NOT SPECIFIED,Clerk#000000912,0,taphs after the blithely final requests sleep quickly regula
8748,34981,111328,O,288833.41,828835200.0,5-LOW,Clerk#000000499,0,y even packages cajole. q
8749,34982,137584,F,38494.69,714182400.0,4-NOT SPECIFIED,Clerk#000000542,0,ily regular platelets sleep slyly across the b
8750,34983,111625,O,74082.81,861494400.0,3-MEDIUM,Clerk#000000102,0,"hely final deposits. final, unusual dependencies was. packag"
8751,35008,148858,F,296322.23,705283200.0,1-URGENT,Clerk#000000453,0,"ieve ruthlessly express deposits: final, quiet deposits cajole about t"
8752,35009,143746,O,217116.56,890870400.0,2-HIGH,Clerk#000000545,0,even foxes. quickly furious accounts after the furiously even account
8753,35010,36811,O,15858.47,881884800.0,2-HIGH,Clerk#000000275,0,efully excuses. ironic ideas
8754,35011,80480,F,51351.1,724032000.0,4-NOT SPECIFIED,Clerk#000000932,0,"ons nag across the express, regular packages. quickly even acc"
8755,35012,68587,F,190918.63,708048000.0,3-MEDIUM,Clerk#000000811,0,lent dependencies. slyly ironic packages breach furiously furiously even dep
8756,35013,134272,O,322303.48,879292800.0,3-MEDIUM,Clerk#000000661,0,s. furiously blithe pack
8757,35014,83495,F,31857.82,781228800.0,3-MEDIUM,Clerk#000000147,0,al foxes alongside of the carefully 
8758,35015,44200,O,55491.83,880416000.0,2-HIGH,Clerk#000000078,0,"t the carefully final foxes. pending, silent asymptotes unwind bravely ag"
8759,35040,48701,F,182133.2,703641600.0,4-NOT SPECIFIED,Clerk#000000581,0,"ully among the regular pinto beans. pending, ironic pinto beans use bli"
8760,35041,115000,F,184876.08,766454400.0,4-NOT SPECIFIED,Clerk#000000890,0,cuses along the quickly pending theodolites boost bl
8761,35042,53609,F,42606.15,754876800.0,4-NOT SPECIFIED,Clerk#000000287,0,p along the regular grouches. i
8762,35043,96925,F,152611.48,743126400.0,4-NOT SPECIFIED,Clerk#000000778,0,ously final foxes! express requests was
8763,35044,144596,O,71114.02,862531200.0,1-URGENT,Clerk#000000256,0,eful foxes thrash slyly about the accounts. deposits believe furiousl
8764,35045,69715,F,181807.92,702259200.0,3-MEDIUM,Clerk#000000974,0,hely pending packages: unusual accounts ar
8765,35046,21322,F,311897.5,743558400.0,3-MEDIUM,Clerk#000000954,0,the regular excuses. sl
8766,35047,147962,F,330376.48,739670400.0,3-MEDIUM,Clerk#000000624,0, busily. packages boost. ironic depths cajole carefully
8767,35072,95233,O,172357.55,819763200.0,4-NOT SPECIFIED,Clerk#000000022,0,onic deposits. pending dependencies affix quickly. special ideas sleep careful
8768,35073,64460,O,207002.42,872035200.0,3-MEDIUM,Clerk#000000008,0,regular requests. idea
8769,35074,62704,O,23397.77,842486400.0,4-NOT SPECIFIED,Clerk#000000028,0,lar accounts sleep caref
8770,35075,91930,F,225902.1,727228800.0,3-MEDIUM,Clerk#000000439,0,"nding, regular packages. "
8771,35076,61414,O,158829.36,889833600.0,4-NOT SPECIFIED,Clerk#000000311,0," slyly around the special, regular accounts. carefully f"
8772,35077,20173,O,157659.82,813110400.0,2-HIGH,Clerk#000000242,0,even accounts nag against the unusua
8773,35078,30208,O,207711.09,839635200.0,5-LOW,Clerk#000000261,0,ickly silent pinto beans. carefully even a
8774,35079,82906,F,214645.71,745372800.0,2-HIGH,Clerk#000000514,0,blithely regular ideas use carefully blithely regular asymptotes. express p
8775,35104,49255,F,351558.03,703987200.0,2-HIGH,Clerk#000000869,0,uriously busy foxes eat along the unusual packages. ca
8776,35105,111658,F,38620.91,754444800.0,1-URGENT,Clerk#000000585,0,sly express instructions 
8777,35106,121285,O,91081.38,805334400.0,4-NOT SPECIFIED,Clerk#000000523,0,onic deposits. final requests against 
8778,35107,66226,F,200155.44,779673600.0,4-NOT SPECIFIED,Clerk#000000973,0,ly according to the pending forges. blithely careful fox
8779,35108,26782,F,182680.1,769910400.0,3-MEDIUM,Clerk#000000728,0,courts. carefully final warhorses nag. furiously quick warthogs boo
8780,35109,95116,O,119870.91,886896000.0,1-URGENT,Clerk#000000398,0,ounts nag carefully according to the ideas. carefully even accounts wake furio
8781,35110,63907,O,179450.57,814060800.0,2-HIGH,Clerk#000000409,0,te slyly deposits. enticingly even packages s
8782,35111,73378,F,71829.93,739324800.0,1-URGENT,Clerk#000000873,0,rs boost slyly blithely pending pinto beans. fluffily even requests b
8783,35136,112009,F,216465.24,781660800.0,1-URGENT,Clerk#000000523,0,"ss dependencies. even ideas nag carefully express, fluffy packages"
8784,35137,18740,F,174546.17,742953600.0,2-HIGH,Clerk#000000169,0,unts cajole slyly stealthy accounts. special packages sleep. b
8785,35138,97297,O,48323.28,863654400.0,1-URGENT,Clerk#000000588,0,otes about the slowly final requests serve fluffily silent accounts. 
8786,35139,104429,F,302548.48,727401600.0,2-HIGH,Clerk#000000315,0,nts are slyly caref
8787,35140,133183,O,200237.3,878860800.0,3-MEDIUM,Clerk#000000874,0,arefully express deposits. blithely ironic packages sleep. f
8788,35141,99940,F,212291.84,747792000.0,3-MEDIUM,Clerk#000000641,0,"arefully bold, pending "
8789,35142,123235,F,159837.37,735523200.0,5-LOW,Clerk#000000157,0,ely. even packages impress carefully even sauternes: theodolite
8790,35143,149807,O,34898.74,812937600.0,5-LOW,Clerk#000000871,0,ironic accounts wake furiousl
8791,35168,45406,O,100794.58,900460800.0,5-LOW,Clerk#000000247,0,"s promise fluffily regular, even waters. quickly pending requests dou"
8792,35169,67378,O,125659.78,833587200.0,2-HIGH,Clerk#000000827,0,ccounts around the fluffily pending pa
8793,35170,64546,F,94703.23,771292800.0,2-HIGH,Clerk#000000053,0,ld instructions. bravely regular deposits are fluffily waters. furiously
8794,35171,15574,O,206213.48,851990400.0,5-LOW,Clerk#000000883,0,e carefully furiously ironic ideas. 
8795,35172,120961,F,4103.37,777168000.0,5-LOW,Clerk#000000284,0,"ke pending, regular packages. regular, s"
8796,35173,33314,F,311751.09,700531200.0,4-NOT SPECIFIED,Clerk#000000340,0,leep above the final theodolites. fluffily ironic platelets subl
8797,35174,98701,O,18699.16,885686400.0,4-NOT SPECIFIED,Clerk#000000389,0,"y special, ironic dinos. "
8798,35175,141434,O,104114.75,879552000.0,2-HIGH,Clerk#000000852,0,r accounts around the slyly even theodolites sleep silently af
8799,35200,23599,F,307659.47,760492800.0,3-MEDIUM,Clerk#000000716,0,uests. idle excuses boost furiously among the carefully regul
